"type","name","",""
"antigen","R2-4_3","-3.54346563255144","-2.31416402045117"
"antigen","R2-4_4","-2.70455003026435","-2.92379175013382"
"antigen","R2-4_5","-3.31343426283284","-2.50255331831359"
"antigen","R2-4_6","-4.02806230073566","-1.74938242389669"
"antigen","R2-4_7","-3.86228401619158","-2.56942628598675"
"antigen","R2-4_8","-3.78417798748926","1.96434228725639"
"antigen","R2-4_9","-4.82303415765633","-1.37146129580055"
"antigen","SARS1","-1.37278861467187","-5.00260612289283"
"antigen","WuG","3.79512111751551","-0.934896147592162"
"antigen","XBB","-2.18049531839815","-4.31356128494301"
"antigen","XBB.1","-1.44041661793873","-5.04506323527837"
"antigen","XBB.1.5","-2.18672032652072","-4.39998647812889"
"antigen","alpha","3.6668999251171","-0.837633075092505"
"antigen","beta","1.36210566994947","-2.80316029294187"
"antigen","delta","4.33914463603481","-0.757683333962337"
"antigen","gamma","3.02288184702617","-0.336514370345498"
"sera","Conv_Delta","5.87586821225669","-1.30887064497466"
"sera","Conv_WT-1","3.24426063629086","-1.01794124090981"
"sera","Conv_WT-2","2.55710243021466","-0.340718242357135"
"sera","Conv_WT-3","4.18295241010594","-1.25268806483639"
"sera","Vac_Mod-1","5.22400338245289","-0.38530230207577"
"sera","Vac_Mod-2","4.81231834575114","-0.279438139008577"
"sera","Vac_Pfiz-1","5.70003450509663","-0.0459203908965926"
"sera","Vac_Pfiz-2","5.33113548213546","-0.785557935375932"
"sera","Vac_Pfiz-3","4.47000454544627","-1.04270570066311"
"sera","Boost_Mod-1","3.27661881386203","-1.5620464167059"
"sera","Boost_Mod-2","3.63811385539166","-1.59707103798439"
"sera","Boost_Mod-3","2.81583805561501","-1.24822659841646"
"sera","Boost_Pfiz-1","3.50768557387455","-1.88102848281775"
"sera","Boost_Pfiz-2","3.26856499971763","-1.69958384343441"
"sera","Bi-valent Boost","2.29070467509918","-0.78816554295192"
"sera","BTI_Delta-1","3.61300759340258","-1.70193594012529"
"sera","BTI_Delta-2","3.28485747869007","-1.4475180124776"
"sera","BTI_BA.1-1","3.11830663316477","-1.89882860974247"
"sera","BTI_BA.1-2","2.44787536385449","-1.53665769409278"
"sera","BTI_BA.1-3","2.07748516533011","-1.09906520525664"
"sera","BTI_BA.2.12.1","2.68782003231034","-1.37003391437373"
"sera","BTI_BA.4/5","2.18105888419819","-1.24363063777487"
